scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
HiddenCover,16384,10,clustered,1.0,20,15.0,0,592,0.0295,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,21,15.0,0,592,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,22,15.0,0,592,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,23,15.0,0,592,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,24,15.0,0,592,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,25,15.0,0,592,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,26,15.0,0,592,0.0294,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,27,15.0,0,592,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,28,15.0,0,592,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,1.0,29,15.0,0,592,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,0,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,1,16.0,0,624,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,2,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,3,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,4,16.0,0,624,0.0295,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,5,16.0,0,624,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,6,16.0,0,624,0.0292,0.0,True,no private request; no individualized server witness update
