scheme,cover_nodes,padded_set_size,measurement,presentation_bytes,show_ms,verify_ms,state_check_ms,match_ms,credential_bridge_ms,cover_transform_ms,oom_ms,verified,protocol_payload_bytes,m,k,revoked,json_wire_bytes,proof_bytes
HiddenCover,8,8,17,1066,11.1512,8.6691,0.0465,9.99999999999e-05,1.8209,2.3455,6.9343,True,1066,,,,,1066
HiddenCover,8,8,18,1066,11.5453,9.0641,0.0466,9.99999999999e-05,1.7329,2.9659,6.795,True,1066,,,,,1066
HiddenCover,8,8,19,1066,11.6081,10.1743,0.0615,0.0001999999999999,2.8639,2.2433,6.4336,True,1066,,,,,1066
HiddenCover,8,8,20,1066,11.8029,9.2469,0.0603999999999999,0.0001999999999999,2.1015,2.3412,7.2943,True,1066,,,,,1066
HiddenCover,8,8,21,1066,11.5922,8.7652,0.0465,0.0001999999999999,1.8728,2.7572,6.9131,True,1066,,,,,1066
HiddenCover,8,8,22,1066,10.8963,9.8757,0.046,9.99999999999e-05,1.7498,2.9015,6.1947,True,1066,,,,,1066
HiddenCover,8,8,23,1066,11.9529,11.4345,0.0751,0.0001999999999999,2.4712,2.8501,6.5518,True,1066,,,,,1066
HiddenCover,8,8,24,1066,11.984,12.8122,0.0471,9.99999999999e-05,1.8822,2.5175,7.5338,True,1066,,,,,1066
HiddenCover,8,8,25,1066,11.3115,9.3844,0.0524,0.0001999999999999,2.1645000000000003,2.7797,6.311599999999999,True,1066,,,,,1066
HiddenCover,8,8,26,1066,10.6168,9.1163,0.0433,9.99999999999e-05,1.8743,2.3631,6.3331,True,1066,,,,,1066
HiddenCover,8,8,27,1066,10.9061,9.3123,0.0474,9.99999999999e-05,1.7191999999999998,2.3373,6.7996,True,1066,,,,,1066
HiddenCover,8,8,28,1066,11.5601,9.773,0.047,9.99999999999e-05,1.8099,2.2932,7.4068,True,1066,,,,,1066
HiddenCover,8,8,29,1066,11.4877,9.5574,0.0458999999999999,9.99999999999e-05,2.3502,2.6645000000000003,6.4222,True,1066,,,,,1066
HiddenCover,16,16,0,1146,19.956000000000003,12.2506,0.0494999999999999,9.99999999999e-05,2.4044000000000003,5.407900000000001,12.0909,True,1146,,,,,1146
HiddenCover,16,16,1,1146,17.3754,12.6171,0.0494,9.99999999999e-05,1.7649,3.5652,11.9926,True,1146,,,,,1146
HiddenCover,16,16,2,1146,17.4341,12.1336,0.0498,9.99999999999e-05,1.7799999999999998,3.5573,12.0435,True,1146,,,,,1146
HiddenCover,16,16,3,1146,19.9219,12.6353,0.0485,9.99999999999e-05,2.6345,3.6355,13.5998,True,1146,,,,,1146
HiddenCover,16,16,4,1146,17.5372,14.1603,0.0482,0.0001999999999999,2.3249,4.0858,11.0735,True,1146,,,,,1146
HiddenCover,16,16,5,1146,20.45,16.634800000000002,0.0605,9.99999999999e-05,2.0923000000000003,4.7687,13.5249,True,1146,,,,,1146
HiddenCover,16,16,6,1146,18.0391,12.1292,0.0388,9.99999999999e-05,1.9036,3.6076,12.4827,True,1146,,,,,1146
HiddenCover,16,16,7,1146,18.2474,12.8009,0.0524,0.0001999999999999,1.738,4.187200000000001,12.2649,True,1146,,,,,1146
HiddenCover,16,16,8,1146,18.0253,12.182,0.0475,0.0001999999999999,1.7402,4.5811,11.6535,True,1146,,,,,1146
HiddenCover,16,16,9,1146,20.706,13.3839,0.0484,9.99999999999e-05,1.6804,3.5099,15.4618,True,1146,,,,,1146
HiddenCover,16,16,10,1146,21.1935,12.4572,0.0481,0.0001999999999999,2.0135,3.62,15.5057,True,1146,,,,,1146
HiddenCover,16,16,11,1146,18.1679,12.5279,0.0475,0.0001999999999999,1.8969,4.0522,12.166099999999998,True,1146,,,,,1146
HiddenCover,16,16,12,1146,17.904799999999998,13.0352,0.0488,9.99999999999e-05,1.877,3.8684,12.1077,True,1146,,,,,1146
HiddenCover,16,16,13,1146,17.6474,12.3491,0.0505,0.0001999999999999,1.7954,3.6223,12.1757,True,1146,,,,,1146
HiddenCover,16,16,14,1146,17.7028,12.0392,0.0521,0.0001999999999999,1.8518,3.5568,12.2379,True,1146,,,,,1146
HiddenCover,16,16,15,1146,18.5364,12.9489,0.0472999999999999,9.99999999999e-05,1.9995,4.621,11.863,True,1146,,,,,1146
HiddenCover,16,16,16,1146,19.4829,12.445,0.0489,0.0001999999999999,2.0496,5.6715,11.7099,True,1146,,,,,1146
HiddenCover,16,16,17,1146,20.1981,13.2696,0.0499,0.0001999999999999,1.8231,3.8019,14.5203,True,1146,,,,,1146
HiddenCover,16,16,18,1146,17.518800000000002,14.4641,0.0479,9.99999999999e-05,1.8154,4.1359,11.5164,True,1146,,,,,1146
HiddenCover,16,16,19,1146,18.5842,13.0565,0.0488,9.99999999999e-05,1.8911,3.6534,12.9882,True,1146,,,,,1146
HiddenCover,16,16,20,1146,17.2897,15.5692,0.0487,0.0001999999999999,1.8687,3.6361,11.7298,True,1146,,,,,1146
HiddenCover,16,16,21,1146,18.038,13.0295,0.0633,0.0001999999999999,2.2665,3.8426,11.8615,True,1146,,,,,1146
HiddenCover,16,16,22,1146,17.929199999999998,12.8775,0.0498,9.99999999999e-05,1.9598,3.8379,12.0787,True,1146,,,,,1146
HiddenCover,16,16,23,1146,17.2603,11.769699999999998,0.0426,9.99999999999e-05,1.7666,3.6464,11.8015,True,1146,,,,,1146
HiddenCover,16,16,24,1146,17.4651,12.4222,0.0467,9.99999999999e-05,1.9807,3.8902,11.5439,True,1146,,,,,1146
HiddenCover,16,16,25,1146,17.2249,12.9488,0.0457,9.99999999999e-05,1.891,3.8983,11.3873,True,1146,,,,,1146
HiddenCover,16,16,26,1146,19.4737,12.2682,0.0488,0.0001999999999999,1.7189,3.6712,14.0314,True,1146,,,,,1146
HiddenCover,16,16,27,1146,19.7065,12.4405,0.0494999999999999,0.0001999999999999,1.8158,3.611,14.2271,True,1146,,,,,1146
HiddenCover,16,16,28,1146,18.0969,13.0624,0.0504,9.99999999999e-05,1.8227,3.6934,12.5267,True,1146,,,,,1146
HiddenCover,16,16,29,1146,19.814,12.6424,0.0449,9.99999999999e-05,1.763,3.635,14.3673,True,1146,,,,,1146
HiddenCover,32,32,0,1226,30.4191,17.7242,0.0531,9.99999999999e-05,1.7778,5.9455,22.6389,True,1226,,,,,1226
HiddenCover,32,32,1,1226,31.357000000000003,19.3484,0.0536,9.99999999999e-05,1.754,6.0141,23.5319,True,1226,,,,,1226
HiddenCover,32,32,2,1226,30.8422,19.8387,0.0523,9.99999999999e-05,1.7544,6.1262,22.9051,True,1226,,,,,1226
HiddenCover,32,32,3,1226,34.2144,17.694000000000003,0.0542,0.0001999999999999,1.9045,5.9099,26.3399,True,1226,,,,,1226
HiddenCover,32,32,4,1226,32.9704,18.3403,0.0533,0.0001999999999999,1.7231,6.6003,24.5876,True,1226,,,,,1226
HiddenCover,32,32,5,1226,32.927,18.3589,0.0524,0.0001999999999999,1.7184,7.2889,23.8628,True,1226,,,,,1226
HiddenCover,32,32,6,1226,31.607000000000003,18.9484,0.0524,9.99999999999e-05,2.129,6.740600000000001,22.6816,True,1226,,,,,1226
HiddenCover,32,32,7,1226,30.4717,17.428099999999997,0.0518,9.99999999999e-05,1.7213,6.6268,22.0687,True,1226,,,,,1226
