scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
ALLOSAUR,16384,30,not_applicable,,26,,1465,1625,9.325733897271757,10.015885185185185,True,none
ALLOSAUR,16384,30,not_applicable,,27,,1465,1625,9.075691686262982,9.805294642857143,True,none
ALLOSAUR,16384,30,not_applicable,,28,,1465,1625,9.187348100846695,10.01411379310345,True,none
ALLOSAUR,16384,30,not_applicable,,29,,1465,1625,9.27987262231367,10.0439,True,none
ALLOSAUR,16384,100,not_applicable,,0,,2585,2825,16.159532165605096,31.06965,True,none
ALLOSAUR,16384,100,not_applicable,,1,,2585,2825,15.320140525477706,30.984383333333334,True,none
ALLOSAUR,16384,100,not_applicable,,2,,2585,2825,15.759926751592358,31.524316666666667,True,none
ALLOSAUR,16384,100,not_applicable,,3,,2585,2825,15.637284474522293,30.71645,True,none
ALLOSAUR,16384,100,not_applicable,,4,,2585,2825,16.00696044585987,33.03276666666667,True,none
ALLOSAUR,16384,100,not_applicable,,5,,2585,2825,15.344167436305732,33.61123333333334,True,none
ALLOSAUR,16384,100,not_applicable,,6,,2585,2825,16.52043202911738,32.03576666666667,True,none
ALLOSAUR,16384,100,not_applicable,,7,,2585,2825,17.106251333598728,33.78775,True,none
ALLOSAUR,16384,100,not_applicable,,8,,2585,2825,18.443209501061567,32.6632,True,none
ALLOSAUR,16384,100,not_applicable,,9,,2585,2825,18.565419251592356,33.5477,True,none
ALLOSAUR,16384,100,not_applicable,,10,,2585,2825,18.560789823393165,33.41505,True,none
ALLOSAUR,16384,100,not_applicable,,11,,2585,2825,17.824825650212315,33.45278333333333,True,none
ALLOSAUR,16384,100,not_applicable,,12,,2585,2825,15.412844059284666,31.838866666666668,True,none
ALLOSAUR,16384,100,not_applicable,,13,,2585,2825,15.891556631028207,32.936616666666666,True,none
ALLOSAUR,16384,100,not_applicable,,14,,2585,2825,16.079664458598725,36.10698333333334,True,none
ALLOSAUR,16384,100,not_applicable,,15,,2585,2825,16.72573891321656,33.146683333333335,True,none
ALLOSAUR,16384,100,not_applicable,,16,,2585,2825,16.241300421506182,32.75398333333333,True,none
ALLOSAUR,16384,100,not_applicable,,17,,2585,2825,17.14792319532909,31.08465,True,none
ALLOSAUR,16384,100,not_applicable,,18,,2585,2825,18.310363115990615,31.00678333333333,True,none
ALLOSAUR,16384,100,not_applicable,,19,,2585,2825,15.829900804140127,30.844583333333333,True,none
ALLOSAUR,16384,100,not_applicable,,20,,2585,2825,16.01979626933576,33.04525,True,none
ALLOSAUR,16384,100,not_applicable,,21,,2585,2825,15.493184525188187,31.629483333333333,True,none
ALLOSAUR,16384,100,not_applicable,,22,,2585,2825,15.539707421766824,32.445816666666666,True,none
ALLOSAUR,16384,100,not_applicable,,23,,2585,2825,15.577947372611465,33.696933333333334,True,none
ALLOSAUR,16384,100,not_applicable,,24,,2585,2825,15.826696184713375,33.99366666666666,True,none
ALLOSAUR,16384,100,not_applicable,,25,,2585,2825,16.782206161195493,33.9068,True,none
ALLOSAUR,16384,100,not_applicable,,26,,2585,2825,17.84859538806322,34.92285,True,none
ALLOSAUR,16384,100,not_applicable,,27,,2585,2825,16.27394104299363,33.5112,True,none
ALLOSAUR,16384,100,not_applicable,,28,,2585,2825,17.015816077311662,35.09805,True,none
ALLOSAUR,16384,100,not_applicable,,29,,2585,2825,16.1184050477707,32.20475,True,none
ALLOSAUR,16384,300,not_applicable,,0,,4510,4425,24.8988739010989,105.3162,True,none
ALLOSAUR,16384,300,not_applicable,,1,,4510,4425,25.63145041208791,96.63005,True,none
ALLOSAUR,16384,300,not_applicable,,2,,4510,4425,23.977202655677655,100.9981,True,none
ALLOSAUR,16384,300,not_applicable,,3,,4510,4425,26.041796565934064,99.67525,True,none
ALLOSAUR,16384,300,not_applicable,,4,,4510,4425,26.564294835164834,96.0098,True,none
ALLOSAUR,16384,300,not_applicable,,5,,4510,4425,26.7365179029304,100.1875,True,none
ALLOSAUR,16384,300,not_applicable,,6,,4510,4425,24.999675,101.18235,True,none
ALLOSAUR,16384,300,not_applicable,,7,,4510,4425,26.791553365384615,101.25755,True,none
