scheme,cover_nodes,padded_set_size,measurement,presentation_bytes,show_ms,verify_ms,state_check_ms,match_ms,credential_bridge_ms,cover_transform_ms,oom_ms,verified
HiddenCover,8,8,0,1066,11.3392,8.9806,0.047599999999999996,0.00009999999999999999,1.7332,2.3678000000000003,7.188199999999999,true
HiddenCover,8,8,1,1066,10.9674,8.716399999999998,0.046900000000000004,0.00009999999999999999,1.7876,2.6426000000000003,6.4882,true
HiddenCover,8,8,2,1066,11.5995,9.211799999999998,0.046400000000000004,0.00019999999999999998,2.2461,2.8484000000000003,6.455500000000001,true
HiddenCover,8,8,3,1066,11.725,9.2111,0.0479,0.00009999999999999999,1.8876,2.5953999999999997,7.1917,true
HiddenCover,8,8,4,1066,10.901900000000001,8.7014,0.0488,0.00009999999999999999,1.7507,2.2894,6.8102,true
HiddenCover,8,8,5,1066,11.775,8.656799999999999,0.0467,0.00009999999999999999,1.6659000000000002,2.3577,7.7017999999999995,true
HiddenCover,8,8,6,1066,11.870500000000002,9.3103,0.0455,0.00009999999999999999,2.9236,2.4591000000000003,6.439699999999999,true
HiddenCover,8,8,7,1066,10.5952,9.920399999999999,0.0496,0.00019999999999999998,1.8299,2.2697,6.4429,true
HiddenCover,8,8,8,1066,11.006699999999999,9.0665,0.0485,0.00009999999999999999,1.7248,2.3841,6.8459,true
HiddenCover,8,8,9,1066,11.242099999999999,8.932300000000001,0.0463,0.00009999999999999999,1.7168,2.3663,7.1093,true
HiddenCover,8,8,10,1066,11.3248,9.232199999999999,0.056100000000000004,0.00019999999999999998,2.0923000000000003,2.7908,6.3827,true
HiddenCover,8,8,11,1066,11.2213,9.2,0.0532,0.00019999999999999998,2.3045999999999998,2.3798,6.4802,true
HiddenCover,8,8,12,1066,10.5924,9.9619,0.0493,0.00009999999999999999,1.7934999999999999,2.3601,6.3862,true
HiddenCover,8,8,13,1066,13.7689,8.697999999999999,0.047,0.00009999999999999999,2.4615,2.9761,8.2813,true
HiddenCover,8,8,14,1066,11.822799999999999,9.6722,0.0468,0.00019999999999999998,1.7079,3.1237,6.9421,true
HiddenCover,8,8,15,1066,11.1803,9.583599999999999,0.0575,0.00019999999999999998,2.1404,2.427,6.5476,true
HiddenCover,8,8,16,1066,11.268699999999999,9.5379,0.0488,0.00019999999999999998,1.8993,2.3298,6.986400000000001,true
HiddenCover,8,8,17,1066,11.1512,8.6691,0.0465,0.00009999999999999999,1.8209000000000002,2.3455,6.9343,true
HiddenCover,8,8,18,1066,11.5453,9.0641,0.0466,0.00009999999999999999,1.7328999999999999,2.9659,6.795,true
HiddenCover,8,8,19,1066,11.6081,10.1743,0.061500000000000006,0.00019999999999999998,2.8639,2.2433,6.4336,true
HiddenCover,8,8,20,1066,11.8029,9.2469,0.060399999999999995,0.00019999999999999998,2.1015,2.3411999999999997,7.2943,true
HiddenCover,8,8,21,1066,11.5922,8.7652,0.0465,0.00019999999999999998,1.8728,2.7572,6.9131,true
HiddenCover,8,8,22,1066,10.8963,9.8757,0.046,0.00009999999999999999,1.7498,2.9015,6.1947,true
HiddenCover,8,8,23,1066,11.952900000000001,11.4345,0.0751,0.00019999999999999998,2.4711999999999996,2.8501,6.5518,true
HiddenCover,8,8,24,1066,11.984,12.812199999999999,0.0471,0.00009999999999999999,1.8822,2.5175,7.5338,true
HiddenCover,8,8,25,1066,11.3115,9.3844,0.0524,0.00019999999999999998,2.1645000000000003,2.7797,6.311599999999999,true
HiddenCover,8,8,26,1066,10.6168,9.1163,0.043300000000000005,0.00009999999999999999,1.8743,2.3630999999999998,6.3331,true
HiddenCover,8,8,27,1066,10.9061,9.3123,0.0474,0.00009999999999999999,1.7191999999999998,2.3373,6.7996,true
HiddenCover,8,8,28,1066,11.5601,9.773,0.047,0.00009999999999999999,1.8098999999999998,2.2932,7.4068,true
HiddenCover,8,8,29,1066,11.4877,9.557400000000001,0.045899999999999996,0.00009999999999999999,2.3502,2.6645000000000003,6.4222,true
HiddenCover,16,16,0,1146,19.956000000000003,12.2506,0.049499999999999995,0.00009999999999999999,2.4044000000000003,5.407900000000001,12.0909,true
HiddenCover,16,16,1,1146,17.3754,12.617099999999999,0.0494,0.00009999999999999999,1.7649,3.5652,11.992600000000001,true
HiddenCover,16,16,2,1146,17.4341,12.1336,0.0498,0.00009999999999999999,1.7799999999999998,3.5572999999999997,12.0435,true
HiddenCover,16,16,3,1146,19.9219,12.6353,0.0485,0.00009999999999999999,2.6345,3.6355,13.5998,true
HiddenCover,16,16,4,1146,17.5372,14.160300000000001,0.0482,0.00019999999999999998,2.3249,4.0858,11.0735,true
HiddenCover,16,16,5,1146,20.45,16.634800000000002,0.0605,0.00009999999999999999,2.0923000000000003,4.7687,13.524899999999999,true
HiddenCover,16,16,6,1146,18.039099999999998,12.129199999999999,0.0388,0.00009999999999999999,1.9036000000000002,3.6075999999999997,12.4827,true
HiddenCover,16,16,7,1146,18.2474,12.8009,0.0524,0.00019999999999999998,1.738,4.187200000000001,12.2649,true
HiddenCover,16,16,8,1146,18.0253,12.182,0.0475,0.00019999999999999998,1.7402,4.5811,11.653500000000001,true
HiddenCover,16,16,9,1146,20.706,13.3839,0.0484,0.00009999999999999999,1.6804000000000001,3.5099,15.4618,true
HiddenCover,16,16,10,1146,21.1935,12.4572,0.0481,0.00019999999999999998,2.0135,3.62,15.505700000000001,true
HiddenCover,16,16,11,1146,18.1679,12.527899999999999,0.0475,0.00019999999999999998,1.8969,4.0522,12.166099999999998,true
HiddenCover,16,16,12,1146,17.904799999999998,13.0352,0.0488,0.00009999999999999999,1.877,3.8684000000000003,12.107700000000001,true
HiddenCover,16,16,13,1146,17.6474,12.3491,0.0505,0.00019999999999999998,1.7953999999999999,3.6223,12.175699999999999,true
HiddenCover,16,16,14,1146,17.7028,12.0392,0.0521,0.00019999999999999998,1.8518000000000001,3.5568,12.2379,true
HiddenCover,16,16,15,1146,18.5364,12.9489,0.047299999999999995,0.00009999999999999999,1.9995,4.621,11.863,true
HiddenCover,16,16,16,1146,19.4829,12.445,0.048900000000000006,0.00019999999999999998,2.0496,5.6715,11.709900000000001,true
HiddenCover,16,16,17,1146,20.1981,13.269599999999999,0.0499,0.00019999999999999998,1.8231,3.8019,14.5203,true
HiddenCover,16,16,18,1146,17.518800000000002,14.4641,0.0479,0.00009999999999999999,1.8154,4.1358999999999995,11.516399999999999,true
HiddenCover,16,16,19,1146,18.5842,13.0565,0.0488,0.00009999999999999999,1.8911,3.6534,12.9882,true
HiddenCover,16,16,20,1146,17.2897,15.5692,0.0487,0.00019999999999999998,1.8687,3.6361000000000003,11.729800000000001,true
HiddenCover,16,16,21,1146,18.037999999999997,13.029499999999999,0.0633,0.00019999999999999998,2.2664999999999997,3.8426,11.861500000000001,true
HiddenCover,16,16,22,1146,17.929199999999998,12.8775,0.0498,0.00009999999999999999,1.9597999999999998,3.8379,12.0787,true
HiddenCover,16,16,23,1146,17.2603,11.769699999999998,0.0426,0.00009999999999999999,1.7666,3.6464000000000003,11.801499999999999,true
HiddenCover,16,16,24,1146,17.4651,12.4222,0.0467,0.00009999999999999999,1.9807000000000001,3.8902,11.543899999999999,true
HiddenCover,16,16,25,1146,17.2249,12.9488,0.0457,0.00009999999999999999,1.891,3.8983,11.3873,true
HiddenCover,16,16,26,1146,19.4737,12.2682,0.0488,0.00019999999999999998,1.7189,3.6712,14.0314,true
HiddenCover,16,16,27,1146,19.7065,12.4405,0.049499999999999995,0.00019999999999999998,1.8158,3.611,14.2271,true
HiddenCover,16,16,28,1146,18.096899999999998,13.0624,0.0504,0.00009999999999999999,1.8227,3.6934,12.5267,true
HiddenCover,16,16,29,1146,19.814,12.6424,0.0449,0.00009999999999999999,1.7630000000000001,3.6350000000000002,14.3673,true
HiddenCover,32,32,0,1226,30.4191,17.7242,0.0531,0.00009999999999999999,1.7778,5.9455,22.6389,true
HiddenCover,32,32,1,1226,31.357000000000003,19.3484,0.0536,0.00009999999999999999,1.754,6.0141,23.5319,true
HiddenCover,32,32,2,1226,30.842200000000002,19.8387,0.0523,0.00009999999999999999,1.7544,6.1262,22.9051,true
HiddenCover,32,32,3,1226,34.2144,17.694000000000003,0.054200000000000005,0.00019999999999999998,1.9044999999999999,5.9099,26.3399,true
HiddenCover,32,32,4,1226,32.9704,18.3403,0.0533,0.00019999999999999998,1.7231,6.6003,24.587600000000002,true
HiddenCover,32,32,5,1226,32.927,18.358900000000002,0.0524,0.00019999999999999998,1.7184,7.2889,23.8628,true
HiddenCover,32,32,6,1226,31.607000000000003,18.9484,0.0524,0.00009999999999999999,2.129,6.740600000000001,22.6816,true
HiddenCover,32,32,7,1226,30.471700000000002,17.428099999999997,0.0518,0.00009999999999999999,1.7213,6.6268,22.0687,true
HiddenCover,32,32,8,1226,30.6189,18.685899999999997,0.0517,0.00039999999999999996,1.8144,6.5902,22.159000000000002,true
HiddenCover,32,32,9,1226,31.925,17.6416,0.0526,0.00019999999999999998,1.7933000000000001,6.8326,23.2433,true
HiddenCover,32,32,10,1226,31.834800000000005,24.0375,0.0523,0.00019999999999999998,1.7496,6.7741,23.2553,true
HiddenCover,32,32,11,1226,31.988500000000002,18.2349,0.0686,0.00019999999999999998,3.4906,6.8439,21.578500000000002,true
HiddenCover,32,32,12,1226,31.827599999999997,17.8548,0.045000000000000005,0.00009999999999999999,2.9699,6.2018,22.6067,true
HiddenCover,32,32,13,1226,34.490100000000005,18.4296,0.0523,0.00009999999999999999,2.5254000000000003,6.629099999999999,25.279,true
HiddenCover,32,32,14,1226,32.9634,18.6665,0.0589,0.00009999999999999999,2.0894,7.7654000000000005,23.0453,true
HiddenCover,32,32,15,1226,30.9387,18.4101,0.0532,0.00019999999999999998,1.8193000000000001,5.9925999999999995,23.068,true
HiddenCover,32,32,16,1226,37.248999999999995,19.4576,0.0703,0.00009999999999999999,2.0565,6.699400000000001,28.418499999999998,true
HiddenCover,32,32,17,1226,32.8648,19.039199999999997,0.052,0.00009999999999999999,1.8105,7.5597,23.4387,true
HiddenCover,32,32,18,1226,31.8996,17.7633,0.0523,0.00009999999999999999,1.8857,7.5372,22.4193,true
HiddenCover,32,32,19,1226,32.7986,18.726799999999997,0.055600000000000004,0.00009999999999999999,1.7706,7.8770999999999995,23.092000000000002,true
HiddenCover,32,32,20,1226,31.497799999999998,17.411099999999998,0.0521,0.0,1.7904,7.036899999999999,22.614800000000002,true
HiddenCover,32,32,21,1226,32.0017,19.2101,0.0519,0.00009999999999999999,1.7953999999999999,7.1838,22.967499999999998,true
HiddenCover,32,32,22,1226,30.5689,18.0292,0.0492,0.00009999999999999999,1.8557000000000001,6.9908,21.6675,true
HiddenCover,32,32,23,1226,31.880100000000002,19.4337,0.051199999999999996,0.00009999999999999999,1.7933000000000001,6.464,23.5662,true
HiddenCover,32,32,24,1226,32.010200000000005,18.796,0.053399999999999996,0.0005,2.2269,6.8616,22.864700000000003,true
HiddenCover,32,32,25,1226,33.4203,19.0368,0.05450000000000001,0.00009999999999999999,2.115,8.5686,22.6784,true
HiddenCover,32,32,26,1226,33.3831,19.9016,0.0513,0.00009999999999999999,2.6324,6.3119,24.3839,true
HiddenCover,32,32,27,1226,38.284800000000004,18.3586,0.0826,0.0003,2.4126,5.9648,29.8181,true
HiddenCover,32,32,28,1226,30.611900000000002,17.5353,0.05,0.00009999999999999999,1.9354,6.9241,21.6993,true
HiddenCover,32,32,29,1226,34.0757,22.1782,0.0526,0.00009999999999999999,1.7929,6.295,25.9313,true
HiddenCover,64,64,0,1306,63.67680000000001,29.2501,0.059500000000000004,0.00019999999999999998,1.9183,10.7522,50.9423,true
HiddenCover,64,64,1,1306,62.597500000000004,28.6921,0.0671,0.00019999999999999998,1.8144,11.4714,49.2411,true
HiddenCover,64,64,2,1306,57.5575,29.3686,0.0586,0.0007,1.9121,11.7165,43.866,true
HiddenCover,64,64,3,1306,63.597699999999996,28.119999999999997,0.057800000000000004,0.00009999999999999999,1.8079999999999998,11.6226,50.1036,true
HiddenCover,64,64,4,1306,62.6992,28.6919,0.0573,0.00009999999999999999,2.99,10.985800000000001,48.661,true
HiddenCover,64,64,5,1306,57.9423,29.7509,0.0573,0.00019999999999999998,1.8587,11.394400000000001,44.6266,true
HiddenCover,64,64,6,1306,58.0407,33.236399999999996,0.0579,0.00019999999999999998,1.9239000000000002,11.305900000000001,44.7478,true
HiddenCover,64,64,7,1306,58.4463,29.7158,0.07629999999999999,0.00019999999999999998,2.4789999999999996,10.4009,45.483999999999995,true
HiddenCover,64,64,8,1306,61.949999999999996,27.733,0.0571,0.00019999999999999998,2.0322999999999998,13.0028,46.8516,true
